source_id,faction_zh,name_zh,name_en,reason
2876,太空野狼,乘坐风暴战车的洛根·格里姆纳尔【传奇】,,missing_english_lookup
2877,太空野狼,克罗姆·龙瞪【传奇】,,missing_english_lookup
2878,太空野狼,哈拉尔德·死亡之狼【传奇】,,missing_english_lookup
2879,太空野狼,卡尼斯·狼生【传奇】,,missing_english_lookup
2880,太空野狼,终结者护甲野狼守卫战斗领袖【传奇】,,missing_english_lookup
2881,太空野狼,机械狼【传奇】,,missing_english_lookup
2887,太空野狼,骗子卢卡斯【传奇】,,missing_english_lookup
2890,太空野狼,野狼守卫头狼【传奇】,,missing_english_lookup
2893,太空野狼,骑雷狼的野狼领主【传奇】,,missing_english_lookup
2894,太空野狼,骑雷狼的野狼守卫战斗领袖【传奇】,,missing_english_lookup
2898,太空野狼,跳跃背包野狼守卫头狼【传奇】,,missing_english_lookup
2899,太空野狼,终结者护甲野狼守卫头狼【传奇】,,missing_english_lookup
2884,太空野狼,莫尔凯猎犬【传奇】,,missing_english_lookup
2885,太空野狼,长牙【传奇】,,missing_english_lookup
2886,太空野狼,天爪【传奇】,,missing_english_lookup
2895,太空野狼,风暴牙炮艇【传奇】,,missing_english_lookup
2897,太空野狼,狼卫【传奇】,,missing_english_lookup
2900,太空野狼,风暴狼【传奇】,,missing_english_lookup
992,帝国特勤,教廷牧师,Ministorum Priest,wrong_identity
1001,帝国特勤,守望连长阿耳忒弥斯,Watch Captain Artemis,wrong_identity
1002,帝国特勤,守望堡主,Watch Master,wrong_identity
2834,星界军,哈米吉多顿：战营：星界军,,missing_english_lookup
2835,星界军,杀戮小队：德维兰上的惧物,,missing_english_lookup
2768,星界军,女武神炮艇,,missing_english_lookup
2769,星界军,飞龙自行火炮/九头蛇高射炮,,missing_english_lookup
2770,星界军,克里德堡主,,missing_english_lookup
2771,星界军,风暴忠嗣军小队,,missing_english_lookup
2772,星界军,风暴天鹰,,missing_english_lookup
2773,星界军,技术技师机械教士,,missing_english_lookup
2774,星界军,罗格多恩坦克,,missing_english_lookup
2775,星界军,莱特林,,missing_english_lookup
2776,星界军,太阳元帅雷昂图斯,,missing_english_lookup
2777,星界军,大元帅德雷尔,,missing_english_lookup
2778,星界军,克里格重型武器小队,,missing_english_lookup
2779,星界军,克里格指挥组,,missing_english_lookup
2780,星界军,克里格战斗工兵,,missing_english_lookup
2781,星界军,卡舍津突击队,,missing_english_lookup
2782,星界军,刚特的幽灵,,missing_english_lookup
2783,星界军,野战炮兵,,missing_english_lookup
2784,星界军,死亡骑兵,,missing_english_lookup
2785,星界军,克里格死兵队,,missing_english_lookup
2786,星界军,政委,,missing_english_lookup
2787,星界军,奇美拉装甲车,,missing_english_lookup
2788,星界军,卡迪安突击队,,missing_english_lookup
2789,星界军,卡迪安指挥组,,missing_english_lookup
2790,星界军,卡迪安堡主,,missing_english_lookup
2791,星界军,牛格林/欧格林,,missing_english_lookup
2792,星界军,毒刃坦克,,missing_english_lookup
2793,星界军,阿提拉蛮骑兵,,missing_english_lookup
2794,星界军,炮兵小组,,missing_english_lookup
2795,星界军,哨兵,,missing_english_lookup
2798,星界军,黎曼鲁斯战斗坦克,,missing_english_lookup
2742,星际战士,战锤40k 星际战士 vsm 渗透者 入侵者,,missing_english_lookup
2743,星际战士,先驱者小队,,missing_english_lookup
2744,星际战士,根除者小队,,missing_english_lookup
2745,星际战士,侵略者小队,,missing_english_lookup
2746,星际战士,重装仲裁者小队,,missing_english_lookup
